N,P,K,temperature,humidity,ph,rainfall,label
86.91,55.48,31.2,30.8,44.93,7.97,67.07,cotton
12.86,102.35,199.99,13.52,93.62,7.0,165.75,apple
17.28,5.11,38.91,20.02,80.38,6.8,52.87,pomegranate
75.71,40.41,33.39,31.95,58.57,7.33,104.21,maize
47.8,70.91,99.58,18.52,17.23,6.81,63.96,chickpea
45.41,85.36,79.54,23.52,16.89,7.0,84.34,chickpea
10.48,71.19,15.3,17.26,23.3,6.31,95.15,kidneybeans
110.55,87.66,63.8,32.23,74.44,6.18,186.84,banana
118.47,46.76,25.97,23.17,72.79,6.81,115.19,sugarcane
58.29,39.43,32.15,28.23,47.27,6.35,60.02,millet
11.7,58.15,15.73,17.91,21.04,6.2,69.97,kidneybeans
27.91,68.14,17.67,24.37,37.99,6.86,36.01,lentil
77.91,29.25,59.55,25.85,71.61,5.25,126.21,sugarcane
22.76,15.82,35.17,33.59,98.44,6.2,187.26,coconut
102.3,42.68,30.46,31.07,73.86,6.05,70.97,maize
79.61,52.84,41.37,27.52,90.8,5.88,162.29,rice
118.42,49.85,34.93,30.94,65.58,7.1,125.44,maize
12.14,19.86,31.85,27.8,48.74,6.03,114.46,mango
68.97,65.33,55.77,27.83,85.62,6.08,157.94,papaya
86.8,58.15,22.34,25.9,51.85,6.6,105.49,maize
29.73,49.75,18.55,32.5,58.94,5.67,31.69,mothbeans
113.54,81.34,78.95,31.82,81.64,5.7,221.93,banana
101.06,56.69,50.97,33.0,81.52,7.4,156.04,sugarcane
112.68,61.21,39.19,20.55,78.99,6.37,141.96,maize
14.35,20.03,49.23,28.05,58.94,6.64,134.89,mango
24.56,17.96,42.13,34.04,59.74,6.55,120.13,mango
33.46,111.52,204.83,11.95,92.85,6.4,169.66,apple
21.82,69.03,18.44,19.59,21.15,7.48,67.16,lentil
29.73,66.03,21.42,16.01,19.87,5.87,75.29,kidneybeans
110.19,14.59,49.84,26.23,90.82,7.36,41.01,muskmelon
28.94,15.57,36.61,29.84,97.24,6.23,171.2,coconut
10.9,6.49,49.89,29.07,90.03,7.42,39.62,pomegranate
73.45,34.33,45.36,15.51,62.88,6.65,106.51,wheat
107.34,35.4,53.56,29.26,84.69,5.14,196.51,sugarcane
22.68,55.74,21.47,27.84,51.3,4.86,48.32,mothbeans
18.3,11.95,39.1,18.32,88.45,5.63,50.75,pomegranate
43.81,56.11,91.8,17.57,16.78,7.18,75.01,chickpea
89.39,59.74,40.15,28.84,79.11,6.02,185.26,jute
117.58,88.21,52.58,22.41,80.35,6.25,135.65,banana
113.13,15.32,32.54,23.07,73.43,6.31,203.0,coffee
32.95,17.5,32.87,25.86,59.64,7.27,80.94,mango
81.21,31.21,39.66,31.05,62.46,7.17,120.16,sugarcane
48.22,54.05,45.29,33.53,87.07,6.29,107.44,papaya
17.4,27.15,26.25,32.82,51.41,6.13,111.15,mango
112.19,52.65,32.02,12.13,59.0,5.56,102.23,wheat
125.69,32.42,27.93,16.74,64.31,5.35,205.91,coffee
28.43,130.76,203.01,18.49,89.4,6.28,125.5,apple
52.1,55.09,50.82,33.57,81.16,6.15,158.45,papaya
13.65,59.25,23.0,16.62,19.94,6.34,93.01,kidneybeans
110.85,48.11,54.21,27.3,83.41,6.96,206.78,rice
50.47,62.84,48.99,33.2,92.48,6.04,166.78,papaya
15.8,54.55,21.95,28.62,22.8,6.94,65.38,lentil
64.96,39.28,41.54,27.59,84.41,6.43,214.37,jute
15.7,61.8,213.48,20.23,78.55,5.54,94.57,grapes
36.15,97.67,217.95,20.22,64.01,6.25,86.43,grapes
13.14,6.66,10.36,27.17,81.03,7.91,115.97,orange
106.24,47.23,48.85,30.52,84.94,5.65,162.78,sugarcane
116.82,32.57,44.58,20.69,89.02,6.65,169.26,rice
72.69,35.19,34.34,22.37,77.11,7.1,246.02,sugarcane
94.48,53.83,52.76,34.59,80.33,6.67,162.24,jute
115.09,28.93,43.56,24.28,67.67,6.72,119.1,sugarcane
82.62,42.33,50.11,27.71,80.07,6.01,230.75,jute
19.98,51.42,15.38,31.73,44.2,5.75,37.04,mothbeans
101.43,17.79,52.2,23.57,94.13,7.47,59.6,watermelon
17.27,59.13,16.45,18.16,36.55,7.22,43.25,lentil
112.72,75.65,70.93,31.74,88.36,6.38,129.24,banana
120.0,45.9,47.11,25.5,70.24,5.05,217.05,sugarcane
87.18,21.41,48.32,29.44,64.75,6.82,133.35,sugarcane
27.07,79.15,28.69,20.91,44.83,5.61,35.51,lentil
23.12,59.61,20.86,26.66,43.57,6.46,32.69,lentil
76.37,66.21,24.42,16.56,68.39,5.94,81.58,wheat
21.49,68.04,22.17,20.81,18.1,5.61,72.38,kidneybeans
34.0,40.88,34.27,32.46,55.71,5.77,149.57,mango
34.92,126.38,203.62,24.33,88.91,5.51,167.88,apple
129.42,39.53,25.26,23.7,63.37,6.36,181.37,coffee
22.28,61.19,19.24,30.61,62.56,5.05,69.36,mothbeans
100.95,5.2,54.09,35.8,85.59,6.56,25.06,muskmelon
93.32,88.0,76.18,29.47,82.88,6.91,173.6,banana
81.13,37.36,44.45,30.64,46.8,7.41,45.03,millet
13.06,61.8,19.12,15.52,21.72,5.58,78.5,kidneybeans
65.63,54.88,55.98,29.87,87.09,6.76,134.96,papaya
69.05,32.47,23.11,23.49,50.3,6.93,85.32,wheat
64.59,40.42,41.55,25.64,88.19,7.41,176.76,jute
20.77,18.77,39.83,32.53,98.32,6.5,144.1,coconut
16.84,65.44,21.9,16.36,24.94,6.26,81.08,kidneybeans
86.08,9.15,52.98,31.8,86.58,6.83,34.09,muskmelon
63.94,41.0,38.99,18.23,49.76,7.49,87.14,wheat
83.41,37.02,39.38,28.68,78.87,7.22,213.7,jute
114.5,22.34,59.66,28.88,79.17,7.5,246.1,sugarcane
12.51,8.23,46.34,27.38,80.29,7.03,44.77,pomegranate
104.59,97.14,64.41,24.32,82.3,5.72,215.31,banana
17.98,71.09,219.77,16.0,78.64,6.37,78.28,grapes
28.24,61.37,22.23,34.56,62.95,5.03,50.2,mothbeans
94.24,59.7,53.23,26.41,91.04,6.6,239.58,jute
22.18,104.54,195.76,13.68,92.41,6.2,139.19,apple
38.52,62.63,215.68,21.87,62.0,6.85,64.42,grapes
74.43,46.66,39.93,19.2,79.24,5.64,107.35,maize
23.16,60.38,15.52,15.48,24.64,6.09,66.41,kidneybeans
26.38,48.19,18.89,29.62,52.52,4.52,52.1,mothbeans
16.89,13.8,48.98,20.44,81.69,6.95,43.66,pomegranate
18.87,22.9,36.01,24.01,59.14,6.26,68.55,mango
64.94,39.44,25.96,25.21,50.89,6.96,37.36,millet
13.18,62.56,16.71,15.25,19.23,6.34,85.22,kidneybeans
30.72,16.8,49.41,29.72,58.9,6.4,83.47,mango
21.02,49.76,16.96,32.69,56.42,3.57,54.62,mothbeans
71.13,32.44,40.27,23.76,81.28,7.2,104.34,sugarcane
76.52,55.51,49.08,31.89,70.19,6.56,172.39,jute
23.15,78.44,214.53,23.52,82.54,5.9,84.8,grapes
110.68,36.1,35.2,28.97,51.72,7.27,108.42,cotton
64.22,50.76,40.58,36.63,82.3,6.74,169.67,papaya
86.84,33.98,31.65,19.44,74.9,6.45,149.2,coffee
22.09,84.02,192.48,29.64,71.1,6.33,64.53,grapes
80.88,22.16,54.17,23.79,65.01,6.02,185.41,sugarcane
89.83,10.29,53.35,26.58,94.64,6.09,40.54,muskmelon
8.04,7.67,45.07,31.48,82.82,6.88,54.31,pomegranate
29.53,104.99,198.94,21.05,86.8,6.97,156.38,apple
28.96,12.55,25.81,34.0,96.35,6.43,157.98,coconut
112.18,43.14,24.43,23.51,40.09,7.22,60.13,wheat
17.98,17.11,10.26,33.65,93.19,6.92,107.28,orange
18.75,8.61,45.22,27.49,80.99,6.02,55.19,pomegranate
103.92,13.77,51.07,27.9,92.16,6.8,31.9,muskmelon
67.2,43.07,50.82,27.29,71.82,6.99,187.2,jute
81.15,69.93,28.24,31.72,78.44,5.65,117.38,maize
26.5,60.18,18.14,28.37,63.1,3.8,63.73,mothbeans
101.89,40.21,34.66,29.57,78.41,5.64,164.51,rice
15.97,47.23,20.74,34.35,57.87,4.63,40.21,mothbeans
20.37,63.27,17.03,34.16,50.03,4.67,67.09,mothbeans
52.79,59.48,75.64,18.0,19.0,7.94,84.09,chickpea
21.05,60.95,23.95,20.27,18.29,6.42,85.21,kidneybeans
27.86,24.01,46.92,30.92,42.35,5.61,127.09,mango
109.65,73.42,44.83,23.84,80.38,6.54,183.01,banana
25.89,65.08,17.9,17.04,19.11,6.05,68.88,kidneybeans
5.43,11.03,44.77,25.17,86.09,5.87,31.25,pomegranate
14.61,14.36,7.39,31.02,94.29,6.66,112.2,orange
74.61,35.04,36.94,11.03,62.95,5.91,65.12,wheat
95.83,82.81,76.53,25.96,93.58,6.15,247.39,banana
57.24,57.68,49.09,31.32,94.4,6.4,161.71,papaya
65.09,45.46,48.99,23.35,90.46,6.63,250.92,rice
6.83,12.04,37.99,28.44,81.22,5.68,58.54,pomegranate
19.54,16.21,38.33,32.93,95.11,6.99,131.49,coconut
88.52,46.49,37.95,28.72,80.58,5.82,230.89,rice
119.81,30.35,47.93,22.04,51.27,5.72,182.07,coffee
39.02,123.93,212.45,10.68,83.8,6.43,121.18,apple
25.19,114.07,208.06,22.2,91.07,6.18,101.91,apple
130.87,49.75,22.54,28.73,55.29,7.5,70.69,cotton
24.56,28.13,33.84,32.36,45.69,5.87,84.77,mango
49.34,56.76,43.01,29.18,88.48,6.41,100.45,papaya
62.22,50.09,37.71,23.05,66.23,6.38,86.82,wheat
17.64,7.26,35.64,21.07,83.49,5.81,56.11,pomegranate
100.43,69.2,37.51,29.15,71.76,6.88,62.4,maize
57.59,54.43,52.17,34.98,85.54,6.34,165.86,papaya
16.31,5.65,35.94,22.82,90.99,6.74,54.53,pomegranate
27.46,17.77,14.68,33.29,83.14,6.16,104.12,orange
45.37,55.66,76.13,15.92,17.56,7.75,97.27,chickpea
89.44,36.73,43.85,20.37,71.61,6.48,142.52,maize
28.49,44.7,38.27,25.75,41.35,7.14,69.97,mango
24.44,48.2,16.59,34.92,56.97,5.15,30.59,mothbeans
86.99,44.8,22.4,30.97,62.49,6.93,78.97,millet
30.31,5.53,39.72,34.5,95.38,6.42,138.06,coconut
88.91,59.74,21.54,32.69,60.04,6.39,71.2,millet
17.68,73.38,21.01,21.26,25.52,5.82,38.71,lentil
18.34,65.04,24.53,20.56,22.48,5.81,96.01,kidneybeans
23.19,64.41,18.76,26.9,51.19,5.73,51.81,mothbeans
114.88,14.13,54.0,31.31,93.91,7.06,46.39,muskmelon
18.27,7.52,42.67,22.34,83.25,5.86,40.02,pomegranate
96.2,60.25,67.43,26.44,88.11,6.42,104.37,banana
21.62,30.72,39.93,30.62,58.39,6.15,114.09,mango
125.14,51.38,24.96,23.0,44.87,6.48,108.43,cotton
17.31,8.62,35.99,33.8,93.26,6.03,180.56,coconut
79.57,41.53,38.45,29.94,53.53,6.41,74.09,millet
21.05,45.73,21.76,28.4,57.08,4.23,68.37,mothbeans
61.17,57.87,56.36,28.32,77.69,5.59,281.7,rice
111.79,20.74,49.07,25.26,61.44,5.88,194.14,coffee
117.63,13.07,49.67,28.21,88.49,6.27,35.55,muskmelon
29.38,73.44,16.31,19.13,29.41,7.37,36.46,lentil
49.09,55.17,52.68,32.85,92.04,6.45,129.83,papaya
28.88,10.54,14.52,29.02,86.13,6.24,107.15,orange
108.28,36.67,35.21,29.11,71.86,5.38,204.28,sugarcane
23.84,27.67,43.39,24.65,55.51,5.78,132.99,mango
31.88,86.4,207.41,23.58,71.9,6.78,75.33,grapes
87.34,65.97,61.25,27.07,84.45,5.79,202.23,banana
39.26,76.95,215.86,17.09,74.68,5.63,60.39,grapes
51.88,83.22,75.04,16.67,16.49,6.66,73.09,chickpea
40.7,69.47,51.13,31.38,83.52,6.92,110.54,papaya
20.74,28.76,44.96,34.59,45.0,5.86,90.16,mango
17.1,50.08,23.63,31.71,54.91,4.36,52.22,mothbeans
81.1,49.45,48.23,34.72,78.05,7.1,172.58,jute
25.07,66.13,16.64,20.17,24.86,6.07,100.04,kidneybeans
29.94,90.54,193.68,25.65,60.72,6.72,61.12,grapes
113.83,39.12,30.57,28.03,57.75,6.99,104.08,cotton
107.4,98.96,55.35,26.43,90.35,6.39,217.65,banana
71.86,10.66,51.97,27.25,78.16,6.02,66.92,watermelon
19.86,72.71,204.2,29.15,82.71,6.04,57.4,grapes
24.83,60.84,26.68,24.35,31.15,6.8,38.4,lentil
116.45,65.8,45.38,21.51,69.05,6.6,71.27,maize
26.61,85.34,214.42,16.06,82.34,6.0,51.64,grapes
109.91,33.73,22.9,21.08,64.35,6.61,91.05,wheat
27.24,6.72,37.7,25.73,96.87,6.41,214.07,coconut
51.01,67.78,53.73,28.28,85.06,6.3,165.53,papaya
65.54,42.71,38.3,20.04,89.28,6.46,189.29,rice
11.32,105.11,216.15,22.52,91.22,6.89,119.8,apple
86.24,28.44,46.08,27.69,73.26,5.97,213.98,coffee
24.47,17.49,31.66,25.56,91.1,6.11,228.27,coconut
108.85,5.69,53.19,28.88,93.18,6.73,48.4,watermelon
87.53,14.64,45.79,34.08,93.74,7.11,35.72,muskmelon
49.99,65.25,92.38,23.56,16.38,6.52,64.59,chickpea
105.21,55.6,58.6,24.19,88.69,6.32,240.49,rice
67.11,59.45,37.86,31.19,49.67,6.18,39.06,millet
16.5,13.63,37.8,34.32,94.5,6.1,135.66,coconut
21.71,61.6,19.53,20.8,22.16,6.16,72.94,kidneybeans
27.85,90.66,187.33,16.42,78.82,6.32,93.62,grapes
24.77,63.43,15.73,30.71,48.18,4.49,48.27,mothbeans
5.0,5.31,35.75,18.16,84.11,5.5,43.35,pomegranate
10.88,64.81,23.38,15.98,23.53,6.2,65.36,kidneybeans
17.68,76.62,16.96,26.91,23.61,6.67,66.49,lentil
101.48,52.25,47.91,33.88,60.71,6.75,242.13,sugarcane
32.84,83.28,190.92,26.84,76.1,6.1,73.79,grapes
92.81,9.48,47.97,35.39,89.26,6.65,22.47,muskmelon
20.52,78.84,199.38,28.36,63.62,6.89,72.75,grapes
115.43,58.43,45.97,24.26,84.22,6.73,239.33,sugarcane
105.46,16.66,43.9,30.06,87.29,6.68,40.01,watermelon
119.96,68.82,72.18,27.54,90.29,6.97,201.76,banana
30.31,69.05,96.93,16.23,14.81,7.3,89.02,chickpea
121.74,54.51,39.7,27.49,43.97,6.14,76.81,cotton
11.79,9.6,9.07,22.54,89.22,6.65,90.82,orange
137.83,45.16,27.37,30.9,52.47,7.68,84.21,cotton
26.66,49.97,16.49,30.88,59.33,5.62,40.88,mothbeans
25.07,26.81,45.59,26.1,69.3,6.9,96.01,mango
22.93,50.19,17.12,31.45,55.36,3.81,34.1,mothbeans
24.49,68.57,189.1,16.69,84.62,5.69,55.52,grapes
134.23,34.97,24.91,25.97,60.98,6.47,95.88,cotton
72.45,17.04,57.33,28.61,82.43,6.62,44.72,watermelon
68.15,37.33,43.75,30.55,84.83,6.04,220.76,jute
87.71,99.9,66.8,23.75,71.79,5.52,208.2,banana
26.58,112.37,218.75,15.44,92.18,5.68,160.69,apple
50.72,50.73,54.77,28.23,81.26,6.09,158.14,papaya
19.2,13.99,5.16,30.38,89.7,6.0,104.3,orange
89.96,56.18,40.55,21.6,74.65,7.43,117.75,maize
59.87,78.26,84.35,23.29,16.97,7.56,75.07,chickpea
29.81,125.66,217.08,10.87,89.47,6.57,146.23,apple
90.01,6.67,52.08,25.31,93.4,6.24,53.87,watermelon
27.48,41.54,21.88,25.38,57.17,3.64,64.12,mothbeans
90.02,33.81,34.53,25.49,66.59,7.54,52.05,cotton
96.57,10.98,41.98,25.3,76.34,6.83,56.04,watermelon
69.27,51.91,43.39,36.24,87.35,6.25,111.31,papaya
80.18,63.13,35.97,27.92,58.99,7.13,93.15,maize
100.79,55.19,36.93,34.36,40.04,7.31,109.43,cotton
111.1,54.92,32.6,28.82,76.1,6.2,241.55,rice
61.27,60.29,57.17,37.91,81.22,6.11,155.94,papaya
97.0,36.92,37.26,17.46,71.27,6.18,177.8,coffee
20.56,57.28,15.18,33.22,52.68,5.98,53.23,mothbeans
119.0,34.77,38.32,25.56,59.64,6.5,76.03,cotton
16.03,14.39,5.66,30.16,88.39,6.59,101.44,orange
65.01,64.23,56.8,32.29,87.35,6.79,154.83,papaya
72.29,56.75,47.97,24.77,91.9,7.12,174.06,jute
62.87,58.31,40.29,35.79,89.07,6.15,158.87,papaya
108.57,46.77,42.98,30.37,50.47,5.91,69.08,maize
97.21,63.57,40.32,34.82,80.1,5.69,144.13,banana
104.07,85.09,75.68,28.98,78.38,6.68,162.09,banana
38.03,82.57,75.57,15.59,15.1,7.64,70.37,chickpea
86.0,94.26,45.2,30.53,92.5,6.35,245.07,banana
77.48,38.47,43.84,26.76,93.37,7.07,196.84,jute
61.69,67.23,45.18,19.75,63.74,5.78,70.08,wheat
18.02,18.82,10.84,20.55,83.29,6.41,115.9,orange
102.98,34.5,38.28,33.15,56.59,7.83,101.85,cotton
73.19,57.92,56.73,27.24,65.71,6.82,119.68,sugarcane
112.17,29.52,59.3,24.18,82.13,5.22,206.34,sugarcane
14.49,30.07,31.62,24.61,61.95,6.29,94.56,mango
81.01,39.18,37.93,24.13,77.62,7.1,195.26,jute
106.5,66.82,46.18,28.3,51.87,5.78,78.66,maize
26.35,50.18,16.71,32.23,63.54,5.02,50.23,mothbeans
28.22,7.75,10.69,25.9,94.19,6.48,116.12,orange
117.13,93.4,51.97,31.42,77.89,6.3,131.24,banana
74.26,41.19,41.1,32.81,57.47,6.57,69.4,millet
81.01,31.83,41.05,23.34,68.55,6.13,178.56,coffee
50.45,31.8,43.64,26.47,56.65,6.88,30.44,millet
91.6,19.32,46.55,25.15,79.6,6.31,49.09,watermelon
131.46,43.24,15.02,34.45,46.07,7.38,59.23,cotton
69.9,44.02,33.83,26.22,70.67,6.09,234.66,rice
39.97,79.67,184.21,21.57,76.46,5.63,57.17,grapes
10.84,64.06,15.04,17.49,24.91,6.43,98.92,kidneybeans
14.63,60.09,22.19,24.12,39.32,6.11,40.77,lentil
12.2,10.97,46.93,27.34,94.07,5.66,33.22,pomegranate
116.85,6.04,59.34,33.96,93.87,6.44,37.1,muskmelon
11.11,8.42,49.14,28.07,88.29,6.48,38.0,pomegranate
138.77,37.9,47.87,18.56,78.91,6.46,165.28,coffee
83.29,14.99,51.64,25.45,90.48,7.0,28.21,muskmelon
58.99,58.62,45.49,37.63,90.33,6.24,166.05,papaya
73.26,42.02,21.83,31.28,76.39,7.32,116.34,maize
75.69,50.51,34.92,19.38,79.44,6.44,135.58,maize
72.66,38.76,44.17,24.77,91.61,6.17,247.0,jute
112.24,7.43,52.42,31.5,91.66,6.16,43.43,muskmelon
11.54,67.08,27.21,19.8,25.47,6.99,59.92,lentil
23.59,94.39,201.86,29.29,60.79,6.15,95.75,grapes
59.1,75.92,78.65,15.24,19.08,7.0,69.69,chickpea
70.99,53.84,43.01,29.68,77.83,6.92,189.33,jute
24.29,47.38,16.71,30.71,56.74,5.33,46.31,mothbeans
53.05,57.99,56.68,28.28,85.6,6.34,154.28,papaya
34.51,63.34,78.2,23.69,15.35,6.51,75.09,chickpea
28.64,64.36,73.85,21.22,14.45,6.88,75.27,chickpea
23.97,58.99,21.17,22.05,43.44,6.89,41.47,lentil
85.78,55.71,51.03,29.93,73.22,6.95,247.74,jute
69.15,56.82,24.52,27.35,61.15,5.65,147.14,sugarcane
84.15,7.34,50.72,31.19,93.14,7.15,23.59,muskmelon
21.39,60.66,23.75,30.39,61.92,5.62,37.09,mothbeans
116.34,34.03,33.46,21.07,83.83,5.91,240.72,rice
38.34,135.37,196.73,24.22,93.85,6.47,143.86,apple
12.18,11.15,35.63,24.88,80.47,6.14,30.93,pomegranate
30.71,115.8,199.08,11.88,80.21,5.67,101.11,apple
44.24,52.88,74.1,19.69,14.93,6.78,60.51,chickpea
96.53,15.02,46.85,27.19,76.26,6.55,59.27,watermelon
71.39,22.95,53.83,25.83,67.97,7.38,111.13,sugarcane
12.3,5.91,9.65,26.11,87.26,6.81,97.01,orange
109.74,59.55,40.56,17.9,59.38,6.35,75.33,wheat
18.54,131.39,211.45,20.09,90.72,6.28,117.33,apple
76.42,43.2,41.68,28.47,43.56,7.37,34.66,millet
88.12,6.51,48.2,34.25,88.63,7.36,37.5,muskmelon
111.39,43.59,26.76,26.77,76.26,5.09,231.48,sugarcane
35.46,117.56,202.47,21.54,83.68,6.71,123.89,apple
107.44,52.28,34.15,29.15,43.4,6.23,104.26,cotton
13.93,111.74,211.34,24.4,92.5,6.51,151.42,apple
59.48,82.66,70.05,15.7,18.18,7.29,86.18,chickpea
62.13,35.89,40.32,23.79,72.53,6.34,212.02,jute
63.34,36.73,43.1,26.58,87.81,7.31,202.48,jute
138.12,38.74,32.37,28.38,57.28,6.48,76.32,cotton
19.49,12.55,33.62,30.48,93.76,6.6,214.76,coconut
73.04,64.55,21.69,25.05,58.68,7.13,125.84,maize
17.92,9.59,13.89,28.57,94.03,6.75,106.52,orange
25.48,33.92,26.48,27.49,51.94,6.11,132.76,mango
62.72,43.78,21.91,31.92,78.04,5.64,144.04,maize
32.14,16.24,25.05,25.67,95.02,5.81,147.81,coconut
68.01,36.13,42.43,26.48,62.48,6.6,102.37,maize
26.0,62.46,15.03,18.38,23.77,6.0,72.66,kidneybeans
91.95,6.25,56.14,30.0,85.7,7.47,47.32,muskmelon
42.48,57.58,76.21,20.42,19.63,6.68,68.55,chickpea
29.64,12.81,37.47,27.95,90.99,6.56,214.47,coconut
20.74,9.71,26.22,29.21,98.85,6.36,193.26,coconut
77.61,31.75,25.98,18.59,78.0,6.53,149.02,maize
82.14,64.73,72.28,30.68,81.46,6.52,231.14,banana
102.45,62.23,47.44,25.87,79.03,6.61,72.07,maize
42.52,58.87,45.51,27.58,87.58,6.17,159.75,papaya
86.03,52.57,29.74,26.99,68.9,6.63,59.79,cotton
17.6,34.16,30.96,34.65,65.91,5.94,61.29,mango
88.0,25.32,46.0,24.73,58.97,6.05,206.07,coffee
66.7,54.78,24.55,32.11,46.38,7.37,30.03,millet
86.16,25.31,41.71,15.0,52.73,5.91,181.91,coffee
10.17,11.94,14.36,26.67,83.32,6.04,98.43,orange
91.44,54.26,48.19,26.3,93.37,6.94,213.84,jute
100.54,81.85,54.68,34.72,84.2,6.56,116.97,banana
101.55,16.7,45.39,31.33,84.44,7.28,49.11,watermelon
110.73,42.78,30.42,18.91,66.27,7.28,136.62,maize
16.97,35.62,35.78,32.26,54.3,6.5,110.47,mango
23.44,63.31,24.06,16.43,19.15,5.6,115.9,kidneybeans
18.18,135.64,207.57,18.75,94.57,6.29,139.96,apple
27.16,62.14,22.59,18.73,21.45,5.93,93.75,kidneybeans
17.38,46.07,19.2,32.17,49.21,5.31,51.13,mothbeans
58.28,47.99,31.03,28.88,55.11,6.62,48.8,millet
30.68,71.73,218.78,23.12,63.3,6.02,72.19,grapes
91.12,14.01,57.25,30.37,91.0,6.94,31.86,muskmelon
103.8,36.03,39.35,29.95,86.25,6.16,227.64,rice
90.26,60.58,28.39,31.85,70.41,5.74,147.76,maize
51.93,34.68,23.97,36.2,60.86,6.86,43.96,millet
19.33,53.67,15.16,26.58,62.3,3.59,43.24,mothbeans
22.43,17.34,31.24,31.42,97.88,5.71,162.65,coconut
90.23,50.38,41.05,25.91,82.81,6.19,204.33,jute
137.29,41.9,34.34,22.39,48.2,7.99,84.34,cotton
75.22,30.65,43.66,22.83,71.99,6.76,129.44,maize
25.72,18.9,5.98,21.07,80.57,6.4,95.9,orange
112.44,14.1,55.61,34.23,85.99,6.78,39.91,muskmelon
10.81,7.3,8.71,34.87,84.55,6.97,113.74,orange
78.17,51.34,35.08,20.36,78.25,5.81,119.29,maize
29.79,55.11,20.23,16.91,23.56,6.28,71.25,kidneybeans
13.25,11.81,12.89,20.63,83.29,6.01,96.69,orange
92.34,39.5,35.2,25.14,84.18,6.91,153.15,jute
107.26,86.5,58.99,24.45,79.61,6.89,225.99,banana
60.24,50.59,52.5,27.17,85.27,6.43,179.67,papaya
25.94,5.91,8.12,26.54,94.4,7.51,99.34,orange
102.44,87.14,78.47,30.88,71.03,6.88,195.61,banana
10.67,9.7,13.48,20.98,81.91,7.84,103.26,orange
66.24,56.47,57.92,25.68,87.68,6.44,153.19,papaya
101.58,27.1,54.82,29.63,68.74,5.41,234.17,sugarcane
16.1,51.28,18.35,29.18,42.31,5.83,57.82,mothbeans
28.27,18.17,28.53,25.73,98.53,6.86,200.31,coconut
